pair_id,key_k,key_h,sampled_commutation_successes,num_payloads,sampled_commutation_rate,sampled_commutation_wilson95_low,sampled_commutation_wilson95_high,mean_log_rank_commutation_distance,p05_log_rank_commutation_distance,p50_log_rank_commutation_distance,p95_log_rank_commutation_distance
0,Describe a quiet mountain village!,Talk about animals in a topic.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.1875239143120115,0.13292939727131195,0.19718309333406922,0.2312961870432726
1,Write about baking topic.,Explain a baseball,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.17305683561371316,0.08683270337569776,0.18849999879644413,0.25186847593302397
2,Describe a quiet mountain topic.,Explain a baseball topic.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.1424865067565269,0.07863871652468,0.1590782182816684,0.18810286524372788
3,Explain a baseball practice.,Explain a baseball practice.s,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.14036445435742834,0.11170845705737864,0.13417707290556524,0.1860562159381539
4,Describe a quiet mountain,Talk about animals in a topic.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.15928663276431979,0.10386484921929044,0.1538188087779849,0.22642395625156084
5,Write about baking bread.,Describe a quiet mountain village.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.11683893519673327,0.06551194333359354,0.10799777560845461,0.17712506414837992
6,Describe a quiet mountain villages.,xalk about animals in a forest.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.17266438830878286,0.0886834842393858,0.16580641904810714,0.2688508142797072
7,Explain a baseball practice.,Write a neutral product description.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.1747178321678132,0.11473152812439708,0.1746071322577362,0.2308578082854923
8,Write about baking topic.,Explain a baseball practice!,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.18940513589363264,0.09562515928367046,0.21508761020649442,0.23975771992457257
9,Write about baking bread!,Talk about animals in a forest.,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.18758957425433198,0.117455413503063,0.1863910701696811,0.26006261263145963
10,Write about baking bread.,Describe a quiet mountain,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.16087325604511968,0.07234645892308754,0.18529670934559983,0.21977626741734296
11,Describe a quiet mountain village!,Explain a baseball practice!,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,0.16680747100916268,0.08840943322250878,0.18714542020877184,0.20568932322911343
