case_id,comparison_distribution,payload_id,key_id,payload_text,key_text,token_length,normalized_nll,mean_log_rank,max_log_rank,generated_text,ranks,tail_rank_fraction_gt_10,tail_rank_fraction_gt_100,tail_rank_fraction_gt_1000
0,carts,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,7,8.027539403923653,4.1021822204059735,10.34971065311646, browse this timeline from the chimpanpan,"[31248, 10, 467, 15, 1, 193, 7]",0.5714285714285714,0.42857142857142855,0.14285714285714285
0,ordinary_greedy,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,7,0.6094869216278299,0.0,0.0, The forest is home to many animals,"[1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0
0,ordinary_sampled,11,26,Several people waited near the market.,Talk about animals in a forest in one paragraph.,7,1.018480868707622,0.4858853402374507,1.6094379124341003, A forest is home to a wide,"[5, 1, 1, 1, 1, 2, 3]",0.0,0.0,0.0
1,carts,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,8,7.470653372776153,4.531835501116795,11.506434443799858,.strokeStyle(retrolics);\nThere isn,"[99353, 662, 524, 164, 2, 2, 41, 6]",0.625,0.5,0.125
1,ordinary_greedy,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,8,0.8606707876077908,0.0,0.0,ports\nExplain a baseball practice.\n,"[1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0
1,ordinary_sampled,22,30,A quiet bird watched from the roof.,Explain a baseball practice.s,8,3.6436560376217053,1.9986515797322877,4.04305126783455,"port with. ""There is no such","[4, 18, 14, 57, 17, 3, 1, 3]",0.5,0.0,0.0
2,carts,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,7,8.829435761373341,4.306409390087561,11.405373661304653,ाशεikh\n``Hexadecimal,"[89803, 729, 533, 1, 1, 354, 1]",0.5714285714285714,0.5714285714285714,0.14285714285714285
2,ordinary_greedy,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,7,0.7665983191524361,0.0,0.0, over the lazy dog. The quick,"[1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0
2,ordinary_sampled,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,7,1.529134951925243,0.7678969153834522,4.276666119016055, over the lazy dog. What's,"[1, 1, 1, 1, 1, 72, 3]",0.14285714285714285,0.0,0.0
3,carts,5,50,A small bird landed near the window.,Write a neutral product description?,8,5.890480150470688,3.248890913108781,11.506434443799858, slipped out you need it to describe a,"[99353, 9, 113, 32, 6, 1, 5, 2]",0.375,0.25,0.125
