case_id,payload_id,payload_text,rank_length,true_key,fiber_size,candidate_keys,true_key_in_candidates,collisions_verified_without_cache,keyset_size,f_evaluations,search_elapsed_seconds,collision_rate,collision_wilson95_low,collision_wilson95_high,true_key_containment_rate,true_key_containment_wilson95_low,true_key_containment_wilson95_high
0,0,Switzerland is expensive.,4,Write about baking bread.,1,"[""Write about baking bread.""]",True,True,60,60,100.6383072940007,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
1,1,The meeting starts after lunch.,6,xrite about baking bread.,1,"[""xrite about baking bread.""]",True,True,60,60,134.19742660499833,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
2,2,The current policy has failed.,6,Write about baking,1,"[""Write about baking""]",True,True,60,60,134.23368305799886,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
3,3,A quiet river crossed the valley.,7,Write about baking bread.s,1,"[""Write about baking bread.s""]",True,True,60,60,153.90257181799825,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
4,4,The lab notebook was hidden in the cabinet.,9,Write about baking bread!,1,"[""Write about baking bread!""]",True,True,60,60,188.72618211200097,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
5,5,A small bird landed near the window.,8,Write about baking bread?,1,"[""Write about baking bread?""]",True,True,60,60,165.06276336700103,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
6,6,The archive contains several old records.,7,Write about baking bread today.,1,"[""Write about baking bread today.""]",True,True,60,60,283.4995691389995,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
7,7,The device stopped working after midnight.,7,Write about baking bread briefly.,1,"[""Write about baking bread briefly.""]",True,True,60,60,279.46276122700147,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
8,8,The old train station was closed.,7,Write about baking bread in one paragraph.,1,"[""Write about baking bread in one paragraph.""]",True,True,60,60,289.0135249019986,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
9,9,A wooden box was placed under the desk.,9,Describe a quiet mountain village.,1,"[""Describe a quiet mountain village.""]",True,True,60,60,355.5494469719997,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
10,10,The report was delayed until morning.,7,xescribe a quiet mountain village.,1,"[""xescribe a quiet mountain village.""]",True,True,60,60,287.3322250459969,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
11,11,Several people waited near the market.,7,Describe a quiet mountain,1,"[""Describe a quiet mountain""]",True,True,60,60,258.37707832100205,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
12,12,The garden tools were left outside.,7,Describe a quiet mountain villages.,1,"[""Describe a quiet mountain villages.""]",True,True,60,60,288.4511985200006,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
13,13,The city council approved the plan.,7,Describe a quiet mountain village!,1,"[""Describe a quiet mountain village!""]",True,True,60,60,245.58795064600054,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
14,14,The weather changed before sunset.,6,Describe a quiet mountain village?,1,"[""Describe a quiet mountain village?""]",True,True,60,60,206.7575962209994,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
15,15,A narrow road followed the river.,7,Describe a quiet mountain village today.,1,"[""Describe a quiet mountain village today.""]",True,True,60,60,270.3630085600016,0.0,0.0,0.1936076805344365,1.0,0.8063923194655637,1.0
