case_id,payload_id,key_id,payload_category,payload_text,key_text,payload_token_length,decode_exact_token_match,reverse_exact_token_match,display_string_match,first_mismatch_position,stegotext_text,decoded_text,decode_success_rate,decode_wilson95_low,decode_wilson95_high,reverse_success_rate,reverse_wilson95_low,reverse_wilson95_high
0,11,26,mundane sentence,Several people waited near the market.,Talk about animals in a forest in one paragraph.,7,True,True,True,, browse this timeline from the chimpanpan, Several people waited near the market.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
1,22,30,mundane sentence,A quiet bird watched from the roof.,Explain a baseball practice.s,8,True,True,True,,.strokeStyle(retrolics);\nThere isn, A quiet bird watched from the roof.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
2,7,55,repeated simple payload,The device stopped working after midnight.,xhe quick brown fox jumps,7,True,True,True,,ाशεikh\n``Hexadecimal, The device stopped working after midnight.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
3,5,50,mundane sentence,A small bird landed near the window.,Write a neutral product description?,8,True,True,True,, slipped out you need it to describe a, A small bird landed near the window.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
4,16,2,factual sentence,The museum opened after the storm.,Write about baking,7,True,True,True,," تاریخی مدیریت : ""The joy...\n", The museum opened after the storm.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
5,13,14,policy-like sentence,The city council approved the plan.,Describe a quiet mountain village?,7,True,True,True,, anomaly can also help to describe an, The city council approved the plan.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
6,22,36,mundane sentence,A quiet bird watched from the roof.,Describe ancient Roman roads.,8,True,True,True,," доме забка».  (Latin,", A quiet bird watched from the roof.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
7,16,39,factual sentence,The museum opened after the storm.,Describe ancient Roman road.,7,True,True,True,,YZrd8Z7dJ, The museum opened after the storm.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
8,20,28,factual sentence,The message was written in pencil.,xxplain a baseball practice.,7,True,True,True,,RESSED veteran manager Sparky\nAd, The message was written in pencil.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
9,8,43,factual sentence,The old train station was closed.,Describe ancient Roman roads briefly.,7,True,True,True,, intent indicates action or direction\nA, The old train station was closed.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
10,2,22,policy-like sentence,The current policy has failed.,Talk about animals in a forest!,6,True,True,True,,eli said proudly as a small, The current policy has failed.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
11,18,48,mundane sentence,A notebook remained inside the drawer.,Write a neutral product descriptions.,7,True,True,True,,üs aus mor­gen und ich, A notebook remained inside the drawer.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
12,10,37,model-like neutral sentence,The report was delayed until morning.,xescribe ancient Roman roads.,7,True,True,True,, аудически of free account:, The report was delayed until morning.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
13,4,25,longer sentence,The lab notebook was hidden in the cabinet.,Talk about animals in a forest briefly.,9,True,True,True,,xB That must happen aways from all of, The lab notebook was hidden in the cabinet.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
